x,y
-87.24094973,78.65154645
-87.44089835,78.64701721
-87.64084349,78.64233167
-87.84079361,78.63785545
-88.04075361,78.63385582
-88.24071693,78.63003208
-88.44067453,78.62590531
-88.64063533,78.62193225
-88.84060591,78.61850900
-89.04057114,78.61478782
-89.24052551,78.61049512
-89.44047817,78.60614531
-89.64043484,78.60198644
-89.84038264,78.59741692
-90.04033181,78.59290503
-90.24028322,78.58849748
-90.44023089,78.58392493
-90.64018470,78.57962551
-90.84013744,78.57527253
-91.04009263,78.57104249
-91.24005149,78.56698739
-91.44000784,78.56280800
-91.63996704,78.55876607
-91.83992274,78.55455921
-92.03987703,78.55028336
-92.23983120,78.54600217
-92.43978168,78.54155112
-92.63972866,78.53694589
-92.83967456,78.53229522
-93.03961224,78.52728964
-93.23954886,78.52225032
-93.43950485,78.51807593
-93.63946270,78.51396689
-93.83941797,78.50973815
-94.03937417,78.50555204
-94.23932910,78.50130743
-94.43928855,78.49727884
-94.63924933,78.49331364
-94.83920527,78.48911670
-95.03914873,78.48436187
-95.23907575,78.47895912
-95.43899857,78.47340806
-95.63892107,78.46783545
-95.83885088,78.46253910
-96.03880481,78.45824473
-96.23875917,78.45396372
-96.43870579,78.44934879
-96.63864641,78.44447413
-96.83858827,78.43965332
-97.03853292,78.43494972
-97.23847618,78.43017943
-97.43842140,78.42549757
-97.63837464,78.42117931
-97.83831494,78.41628776
-98.03826080,78.41163811
-98.23821475,78.40734123
-98.43816519,78.40288563
-98.63810410,78.39794439
-98.83804524,78.39309520
-99.03799247,78.38849710
-99.23793928,78.38388124
-99.43788004,78.37901392
-99.63781420,78.37387411
-99.83775775,78.36913271
-100.03770881,78.36470211
-100.23765170,78.35992873
-100.43758728,78.35485129
-100.63753151,78.35013242
-100.83749029,78.34606076
-101.03743461,78.34137050
-101.23736059,78.33590795
-101.43728402,78.33037338
-101.63720839,78.32487265
-101.83713289,78.31937625
-102.03705460,78.31378236
-102.23697176,78.30802701
-102.43688783,78.30223310
-102.63682039,78.29704186
-102.83675861,78.29206082
-103.03669395,78.28697791
-103.23662871,78.28187076
-103.43655761,78.27653859
-103.63647690,78.27085826
-103.83639159,78.26501562
-104.03629805,78.25890161
-104.23619547,78.25249324
-104.43609330,78.24610149
-104.63599962,78.23998363
-104.83592698,78.23459158
-105.03586386,78.22955823
-105.23580059,78.22452691
-105.43572576,78.21906340
-105.63564066,78.21322481
-105.83556064,78.20756755
-106.03548585,78.20209851
-106.23540973,78.19658144
-106.43533153,78.19098775
-106.63525973,78.18563173
-106.83520013,78.18074860
-107.03514359,78.17599319
